field_name,present_record_count,null_record_count,fill_rate_percent,inferred_types,sample_values
_source.data.win.eventdata.sourceProcessGuid,23,101988,0.02,string,{15959494-69E3-674D-6102-000000001200} | {D8AF36FB-69DA-674D-5103-000000000F00} | {D8AF36FB-BB15-674C-2002-000000000D00}
_source.data.win.eventdata.sourceProcessId,2461,99550,2.41,integer,4260 | 5600 | 6892
_source.data.win.eventdata.sourceTag,3,102008,0.0,integer,164
_source.data.win.eventdata.sourceThreadId,2438,99573,2.39,integer,4240 | 7220 | 5756
_source.data.win.eventdata.sourceUser,2461,99550,2.41,string,DESKTOP-QGB4EQH\\mari | DESKTOP-FMI6MML\\maryam | DESKTOP-DS4FBF4\\mari
_source.data.win.eventdata.startAddress,23,101988,0.02,string,0x00007FF8D4501730 | 0x00007FF9D36433F0 | 0x00007FFA0E3E1730
_source.data.win.eventdata.startFunction,6,102005,0.01,string,RtlHeapTrkInitialize
_source.data.win.eventdata.startModule,23,101988,0.02,string,C:\\Windows\\SYSTEM32\\ntdll.dll | C:\\WINDOWS\\SYSTEM32\\ntdll.dll
_source.data.win.eventdata.startType,102,101909,0.1,string,system start | demand start | disabled
_source.data.win.eventdata.status,80,101931,0.08,string,0xc000015b | 0xc000006a | 0xc000006d
_source.data.win.eventdata.subStatus,70,101941,0.07,string,0x0 | 0xc000006a | 0xc0000064
_source.data.win.eventdata.subcategory,78,101933,0.08,string,Logon | Account Lockout | Logoff
_source.data.win.eventdata.subcategoryGuid,78,101933,0.08,string,{0CCE9215-69AE-11D9-BED3-505054503030} | {0CCE9217-69AE-11D9-BED3-505054503030} | {0CCE9216-69AE-11D9-BED3-505054503030}
_source.data.win.eventdata.subcategoryId,78,101933,0.08,string,%%12544 | %%12546 | %%12545
_source.data.win.eventdata.subjectDomainName,3761,98250,3.69,string,WORKGROUP | NT AUTHORITY | DESKTOP-B37GATP
_source.data.win.eventdata.subjectLogonId,3774,98237,3.7,string,0x3e7 | 0x0 | 0x3e5
_source.data.win.eventdata.subjectUserName,3761,98250,3.69,string,DESKTOP-FMI6MML$ | DESKTOP-QGB4EQH$ | LOCAL SERVICE
_source.data.win.eventdata.subjectUserSid,3774,98237,3.7,string,S-1-5-18 | S-1-0-0 | S-1-5-19
_source.data.win.eventdata.targetDomainName,3662,98349,3.59,string,NT AUTHORITY | DESKTOP-QGB4EQH | DESKTOP-FMI6MML
_source.data.win.eventdata.targetFilename,22981,79030,22.53,string,C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Temp\\12b4-0\\PresentationFramework.Aero2.dll | C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Temp\\1124-0\\System.Configuration.Install.dll | C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Temp\\11f4-0\\System.Management.dll
_source.data.win.eventdata.targetImage,2461,99550,2.41,string,C:\\Windows\\Explorer.EXE | C:\\Windows\\System32\\lsass.exe | C:\\Windows\\System32\\RuntimeBroker.exe
_source.data.win.eventdata.targetLinkedLogonId,3472,98539,3.4,string,0x0 | 0xa69c3 | 0x88d67
_source.data.win.eventdata.targetLogonId,3559,98452,3.49,string,0x3e7 | 0x39a8d | 0xac94f
_source.data.win.eventdata.targetName,1,102010,0.0,string,MicrosoftAccount:user=02ypmeulzexajgpp
_source.data.win.eventdata.targetObject,947,101064,0.93,string,HKLM\\System\\CurrentControlSet\\Services\\Fax\\ImagePath | HKLM\\System\\CurrentControlSet\\Services\\BcastDVRUserService_ae2a4\\ImagePath | HKLM\\System\\CurrentControlSet\\Services\\BluetoothUserService_ae2a4\\ImagePath
_source.data.win.eventdata.targetProcessGUID,2438,99573,2.39,string,{15959494-0017-674C-6000-000000000F00} | {15959494-5159-674C-5F00-000000001000} | {15959494-A59E-674C-5A00-000000001100}
_source.data.win.eventdata.targetProcessGuid,23,101988,0.02,string,{15959494-57D1-674D-0C00-000000001200} | {D8AF36FB-57A1-674D-0C00-000000000F00} | {D8AF36FB-A589-674C-0C00-000000000D00}
_source.data.win.eventdata.targetProcessId,2461,99550,2.41,integer,4728 | 4116 | 4324
_source.data.win.eventdata.targetSid,46,101965,0.05,string,S-1-5-21-2469675487-2142651230-3143768571-501 | S-1-5-21-2097319277-886106531-2388652505-501 | S-1-5-21-3545194148-1031192003-2429619542-1002
_source.data.win.eventdata.targetUser,2461,99550,2.41,string,DESKTOP-QGB4EQH\\mari | NT AUTHORITY\\SYSTEM | DESKTOP-DS4FBF4\\mari
_source.data.win.eventdata.targetUserName,3683,98328,3.61,string,SYSTEM | Administrator | mari
_source.data.win.eventdata.targetUserSid,3629,98382,3.56,string,S-1-5-18 | S-1-0-0 | S-1-5-21-2469675487-2142651230-3143768571-1001
_source.data.win.eventdata.terminalSessionId,20814,81197,20.4,integer,0 | 1
_source.data.win.eventdata.type,9,102002,0.01,integer;string,Command Line | 0
_source.data.win.eventdata.updateGuid,10,102001,0.01,string,{97BEF153-675B-4A14-9610-4E4217593075} | {f014c67e-2e96-4822-9eda-f6e083a0d46f} | {97bef153-675b-4a14-9610-4e4217593075}
_source.data.win.eventdata.updateRevisionNumber,10,102001,0.01,integer,1 | 200
_source.data.win.eventdata.updateTitle,10,102001,0.01,string,9WZDNCRFHVN5-MICROSOFT.WINDOWSCALCULATOR | Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.421.664.0) - Current Channel (Broad | Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.421.655.0) - Current Channel (Broad
_source.data.win.eventdata.user,49331,52680,48.36,string,NT AUTHORITY\\SYSTEM | DESKTOP-QGB4EQH\\mari | NT AUTHORITY\\NETWORK SERVICE
_source.data.win.eventdata.userAccountControl,12,101999,0.01,string,%%2048 | %%2048    %%2050 | %%2089
_source.data.win.eventdata.userParameters,25,101986,0.02,string,%%1793
_source.data.win.eventdata.userWorkstations,27,101984,0.03,string,%%1793
_source.data.win.eventdata.utcTime,57634,44377,56.5,string,24:27.7 | 24:28.5 | 24:28.7
_source.data.win.eventdata.virtualAccount,3472,98539,3.4,string,%%1843 | %%1842
_source.data.win.eventdata.volumeName,3,102008,0.0,string,C:
_source.data.win.eventdata.win32Error,3,102008,0.0,integer,2147944538
_source.data.win.eventdata.workstation,10,102001,0.01,string,DESKTOP-FMI6MML
_source.data.win.eventdata.workstationName,182,101829,0.18,string,DESKTOP-FMI6MML | DESKTOP-B37GATP | DESKTOP-QGB4EQH
_source.data.win.initChannelLoggingFailure.channelPath,1,102010,0.0,string,Microsoft-Windows-Diagnosis-Scripted/Admin
_source.data.win.initChannelLoggingFailure.errorCode,1,102010,0.0,integer,1500
_source.data.win.logFileCleared.channel,74,101937,0.07,string,System | Application | Internet Explorer
_source.data.win.logFileCleared.clientProcessId,1,102010,0.0,integer,8796
_source.data.win.logFileCleared.clientProcessStartKey,1,102010,0.0,string,1.40737E+15
_source.data.win.logFileCleared.subjectDomainName,80,101931,0.08,string,DESKTOP-QGB4EQH | DESKTOP-FMI6MML | DESKTOP-B37GATP
_source.data.win.logFileCleared.subjectLogonId,6,102005,0.01,string,0x39922 | 0xac92c | 0x105bcf
_source.data.win.logFileCleared.subjectUserName,80,101931,0.08,string,mari | maryam
_source.data.win.logFileCleared.subjectUserSid,6,102005,0.01,string,S-1-5-21-2469675487-2142651230-3143768571-1001 | S-1-5-21-2112738947-1079733990-4202809988-1001
_source.data.win.system.channel,90601,11410,88.81,string,Security | Microsoft-Windows-Sysmon/Operational | System
_source.data.win.system.computer,90601,11410,88.81,string,DESKTOP-FMI6MML | DESKTOP-QGB4EQH | DESKTOP-B37GATP
_source.data.win.system.eventID,90601,11410,88.81,integer,4624 | 1 | 7040
_source.data.win.system.eventRecordID,90601,11410,88.81,integer,261850 | 51470 | 51471
_source.data.win.system.eventSourceName,6284,95727,6.16,string,Service Control Manager | Software Protection Platform Service | DCOM
_source.data.win.system.keywords,90601,11410,88.81,string,0x8020000000000000 | 0x8000000000000000 | 0x8080000000000000
_source.data.win.system.level,90601,11410,88.81,integer,0 | 4 | 2
_source.data.win.system.message,90572,11439,88.79,string,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-FMI6MML$
	Account Doma | ""Process Create:
RuleName: -
UtcTime: 2024-12-01 06:24:27.693
ProcessGuid: {D8AF36FB-011B-674C-6A00-000000000A00}
Proces | ""Process Create:
RuleName: -
UtcTime: 2024-12-01 06:24:27.734
ProcessGuid: {D8AF36FB-011B-674C-6B00-000000000A00}
Proces"
_source.data.win.system.opcode,79100,22911,77.54,integer,0 | 13
_source.data.win.system.processID,79100,22911,77.54,integer,564 | 2448 | 544
_source.data.win.system.providerGuid,71972,30039,70.55,string,{54849625-5478-4994-A5BA-3E3B0328C30D} | {5770385F-C22A-43E0-BF4C-06F5698FFBD9} | {555908d1-a6d7-4695-8e1e-26931d2012f4}
_source.data.win.system.providerName,90601,11410,88.81,string,Microsoft-Windows-Security-Auditing | Microsoft-Windows-Sysmon | Service Control Manager
_source.data.win.system.severityValue,90601,11410,88.81,string,AUDIT_SUCCESS | INFORMATION | ERROR
_source.data.win.system.systemTime,90601,11410,88.81,string,2024-12-01T06:24:26.902929700Z | 2024-12-01T06:24:27.700700100Z | 2024-12-01T06:24:27.739856300Z
_source.data.win.system.task,90601,11410,88.81,integer,12544 | 1 | 0
_source.data.win.system.threadID,79100,22911,77.54,integer,604 | 3184 | 2344
_source.data.win.system.version,79100,22911,77.54,integer,2 | 5 | 0
_source.decoder,15788,86223,15.48,string,"{""name"":""windows_eventchannel""} | {""name"":""ossec""} | {""name"":""syscheck_registry_value_modified""}"
_source.decoder.ftscomment,74,101937,0.07,string,First time user executed the sudo command
_source.decoder.name,102009,2,100.0,string,ossec | windows_eventchannel | rootcheck
_source.decoder.parent,374,101637,0.37,string,ossec | pam | sudo
_source.full_log,9192,92819,9.01,string,ossec: File rotated (inode changed): '/var/log/syslog'. | ossec: Manager started. | File '/root/.npm/_cacache/index-v5/82/d7/dcbd0725f9366f2f85f22b083393726197ae5e3c24aab76e6921106117ff' is owned by root 
_source.id,102011,0,100.0,integer;string,1732998608 | 1733034268 | 1733034269
_source.input.type,102011,0,100.0,string,log
_source.location,102011,0,100.0,string,logcollector | EventChannel | wazuh-monitord
_source.manager.name,102011,0,100.0,string,Maryam
_source.predecoder.hostname,261,101750,0.26,string,Maryam
_source.predecoder.program_name,263,101748,0.26,string,sudo | su | systemd
_source.predecoder.timestamp,263,101748,0.26,string,12/2/2025 15:12 | 12/1/2025 9:47 | 12/5/2025 17:50
_source.previous_log,105,101906,0.1,string,"ossec: output: 'netstat listening ports':
udp6       0      0 ::1:323                 :::*                               | ossec: output: 'netstat listening ports':
udp6       0      0 ::1:323                 :::*                               | ossec: output: 'netstat listening ports':
udp6       0      0 ::1:323                 :::*                              "
_source.previous_output,935,101076,0.92,string,"Previous output:
ossec: output: 'netstat listening ports':
udp6       0      0 ::1:323                 :::*              | {""win"":{""system"":{""providerName"":""Microsoft-Windows-Security-SPP"",""providerGuid"":""{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156} | {""win"":{""system"":{""providerName"":""Microsoft-Windows-Security-SPP"",""providerGuid"":""{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156}"
_source.rule.cis,2247,99764,2.2,json_array,"[""2.3.1.3""] | [""1.1.2""] | [""1.1.4""]"
_source.rule.cis_csc,1333,100678,1.31,json_array,"[""4.7""] | [""5.2""] | [""4.10""]"
_source.rule.cis_csc_v7,178,101833,0.17,json_array,"[""4.4""] | [""2.6""] | [""14.6""]"
_source.rule.cis_csc_v8,178,101833,0.17,json_array,"[""5.2""] | [""4.8""] | [""3.3""]"
_source.rule.description,101953,58,99.94,string,Log file rotated. | Windows logon success. | Discovery activity executed
_source.rule.firedtimes,101953,58,99.94,integer,2 | 34 | 11
_source.rule.frequency,830,101181,0.81,integer,8
_source.rule.gdpr,26538,75473,26.01,json_array,"[""II_5.1.f"",""IV_35.7.d""] | [""IV_32.2""] | [""IV_35.7.d""]"
_source.rule.gdpr_IV,152,101859,0.15,json_array,"[""35.7.d""]"
_source.rule.gpg13,23102,78909,22.65,json_array,"[""10.1""] | [""7.1"",""7.2""] | [""4.3""]"
_source.rule.gpg_13,68,101943,0.07,json_array,"[""4.3""]"
_source.rule.groups,102011,0,100.0,json_array,"[""ossec""] | [""windows"",""windows_security"",""authentication_success""] | [""sysmon"",""sysmon_eid1_detections"",""windows""]"
_source.rule.hipaa,13897,88114,13.62,json_array,"[""164.312.b""] | [""164.312.a.2.IV"",""164.312.e.1"",""164.312.e.2.I"",""164.312.e.2.II""] | [""164.312.c.1"",""164.312.c.2""]"
_source.rule.id,102011,0,100.0,integer,591 | 60106 | 92031
_source.rule.info,735,101276,0.72,string,This does not appear to be logged on Windows 2000
_source.rule.level,102011,0,100.0,integer,3 | 4 | 6
_source.rule.mail,102011,0,100.0,boolean,FALSE | TRUE | false
_source.rule.mitre.id,63619,38392,62.36,json_array,"[""T1078""] | [""T1087""] | [""T1059.003""]"
_source.rule.mitre.tactic,63619,38392,62.36,json_array,"[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""] | [""Discovery""] | [""Execution""]"
_source.rule.mitre.technique,63619,38392,62.36,json_array,"[""Valid Accounts""] | [""Account Discovery""] | [""Windows Command Shell""]"
_source.rule.mitre_mitigations,130,101881,0.13,json_array,"[""M1027""] | [""M1042""] | [""M1022""]"
_source.rule.mitre_tactics,169,101842,0.17,json_array,"[""TA0006""] | [""TA0008""] | [""TA0005""]"
_source.rule.mitre_techniques,170,101841,0.17,json_array,"[""T1078"",""T1078.001"",""T1078.002"",""T1078.003"",""T1078.004"",""T1110"",""T1110.001"",""T1110.002"",""T1110.003""] | [""T1203"",""T1210"",""T1543"",""T1543.002""] | [""T1499"",""T1499.001""]"
_source.rule.nist_800_53,15805,86206,15.49,json_array,"[""AU.9""] | [""AC.7"",""AU.14""] | [""AU.6""]"
_source.rule.nist_sp_800-53,133,101878,0.13,json_array,"[""AC-5"",""AC-6""] | [""AC-6(9)""] | [""SC-7(5)""]"
_source.rule.pci_dss,16065,85946,15.75,json_array,"[""10.5.2"",""10.5.5""] | [""10.2.5""] | [""10.6""]"
_source.rule.soc_2,161,101850,0.16,json_array,"[""CC6.1""] | [""CC6.3"",""CC6.6""] | [""CC5.2"",""CC6.1""]"
_source.rule.tsc,15805,86206,15.49,json_array,"[""CC6.1"",""CC7.2"",""CC7.3"",""PI1.4"",""PI1.5"",""CC7.1"",""CC8.1""] | [""CC6.8"",""CC7.2"",""CC7.3""] | [""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]"
_source.syscheck.arch,8130,93881,7.97,json_array,[x32] | [x64]
_source.syscheck.attrs_after,10,102001,0.01,json_array,"[""ARCHIVE""]"
_source.syscheck.changed_attributes,2513,99498,2.46,json_array,"[""mtime""] | [""md5"",""sha1"",""sha256""] | [""permission""]"
_source.syscheck.event,8205,93806,8.04,string,deleted | added | modified
_source.syscheck.gid_after,1840,100171,1.8,integer;string,S-1-5-18 | S-1-5-19 | S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464
_source.syscheck.gid_before,199,101812,0.2,string,S-1-5-32-544 | S-1-5-18
_source.syscheck.gname_after,1798,100213,1.76,string,SYSTEM | LOCAL\ SERVICE | TrustedInstaller
_source.syscheck.inode_after,65,101946,0.06,integer,52396 | 1138 | 29561
_source.syscheck.inode_before,6,102005,0.01,integer,29561 | 1230 | 318078
_source.syscheck.md5_after,6430,95581,6.3,string,f9111ad9f15a7e601256e686d79555a3 | d4095896f9b4a13d33aa04e4918a0edb | e4bad64d7f89f4abcf36febb3b624763
_source.syscheck.md5_before,1566,100445,1.54,string,98504f2bf217bded292767e86089181b | 61e12e12000d15921459762bdcd6a023 | 90b94c383ddfa4fb99fb2ca78e34ac25
_source.syscheck.mode,8205,93806,8.04,string,scheduled | realtime
_source.syscheck.mtime_after,1850,100161,1.81,string,2024-12-02T10:16:06 | 2024-12-02T10:16:07 | 2024-12-01T22:48:01
_source.syscheck.mtime_before,951,101060,0.93,string,2024-09-22T00:47:26 | 2024-09-22T00:47:53 | 2024-10-15T21:38:39
_source.syscheck.path,8205,93806,8.04,string,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\Fi | HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\Fi | HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\Fi
_source.syscheck.perm_after,65,101946,0.06,string,rwxrwxrwx | rw-r--r-- | rw-r-----
_source.syscheck.sha1_after,6430,95581,6.3,string,78e5e8094a97583800f1ee8720423ef59139b2ad | 51563cace13ebcc297cf9712df3c1f079382fc9f | 1e68b84cc796097c27857799b96fddfced5d8294
_source.syscheck.sha1_before,1566,100445,1.54,string,459afb8be4b1a327131647831bfb85bfd33f2f0b | 48fa6b2543c4efa71f18e4600b6d8b47bc58b1db | 81c380f6b7e5a4e155e646f63b7e6b70198c6a98
_source.syscheck.sha256_after,6430,95581,6.3,string,8ed899f3e2ba26b57a4914fb0d0c09c0cd98a96b72ea6345fa6ab894573f1b10 | 36099d983d298d74f90679ae541b7446c4d65ca0cccccaf130493bc8b18c11c0 | b47036d4b5b27eb3d097ef5e8086426849f622b794b6fdec1ca8854b9c162f41
_source.syscheck.sha256_before,1566,100445,1.54,string,4850c85842656a7c58a4209172fefcc2786b27927f08e527dd4df7f4131f349c | 2dd673a174d461aefa644d4af5150c5ca1a07aadad4088c5d41f5a0bdc5d1ec6 | e6e3f88e84acf091bd077451f637e0f41659f273ce7fdf9591d93aec6d67443a
_source.syscheck.size_after,6430,95581,6.3,integer,362 | 516 | 404
_source.syscheck.size_before,20,101991,0.02,integer,1 | 18 | 81
_source.syscheck.uid_after,1850,100161,1.81,integer;string,S-1-5-32-544 | S-1-5-18 | S-1-5-19
_source.syscheck.uid_before,10,102001,0.01,string,S-1-5-18 | S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464
_source.syscheck.uname_after,1850,100161,1.81,string,Administrators | SYSTEM | LOCAL\ SERVICE
_source.syscheck.uname_before,10,102001,0.01,string,SYSTEM | TrustedInstaller
_source.syscheck.value_name,6352,95659,6.23,string,{222E6EAF-DAC3-4A38-AF48-8AE0506DB080} | {250E313A-7BEB-4E56-B3C9-5B2FC6911DE1} | {29000AF6-C806-47B3-B5EA-A600DE109F60}
_source.syscheck.value_type,6355,95656,6.23,string,REG_SZ | REG_DWORD | REG_BINARY
_source.syscheck.win_perm_after,1785,100226,1.75,json_array,"[{""allowed"":[""READ_CONTROL"",""READ_DATA"",""READ_EA"",""WRITE_EA""],""name"":""Users""},{""allowed"":[""DELETE"",""READ_CONTROL"",""WRITE | [{""allowed"":[""READ_CONTROL"",""READ_DATA"",""READ_EA"",""WRITE_EA""],""name"":""Users""},{""allowed"":[""DELETE"",""READ_CONTROL"",""WRITE | [{""allowed"":[""READ_CONTROL"",""READ_DATA"",""READ_EA"",""WRITE_EA""],""name"":""Users""},{""allowed"":[""DELETE"",""READ_CONTROL"",""WRITE"
_source.syscheck.win_perm_before,14,101997,0.01,json_array,"[{""allowed"":[""DELETE""],""name"":""S-1-5-21-2112738947-1079733990-4202809988-1000""},{""allowed"":[""DELETE""],""name"":""maryam""},{ | [{""allowed"":[""GENERIC_READ"",""READ_CONTROL"",""READ_DATA"",""READ_EA"",""WRITE_EA""],""name"":""Authenticated Users""},{""allowed"":["" | [{""allowed"":[""GENERIC_READ"",""READ_CONTROL"",""READ_DATA"",""READ_EA"",""WRITE_EA""],""name"":""Authenticated Users""},{""allowed"":["""
_source.timestamp,102011,0,100.0,string,"Nov 30, 2024 @ 20:30:08.057 | Dec 1, 2024 @ 06:24:28.026 | Dec 1, 2024 @ 06:24:29.426"
_version,102011,0,100.0,integer,1
